BATHROOMS,NUM_UNITS,ROOMS,BEDROOMS,REMODEL_YEAR,STORIES,PRICE,BUILDING_AREA,CONDITION,KITCHENS,FIREPLACES,LAND_AREA
4,2,8,4,1988,3,1095000,2522,Good,2,5,10000
4,2,9,5,2009,2,2100000,2522,Very Good,2,4,1523
4,2,8,5,2003,2,1602000,2484,Good,2,3,882
4,2,8,4,2011,2.25,1050000,2401,Average,2,1,3938
4,2,7,3,2008,3.75,1430000,1488,Very Good,2,1,5000
4,2,5,3,2000,2,1325000,2692,Very Good,2,1,4950
4,1,8,3,2006,2,1240000,1662,Very Good,1,0,1733
4,2,9,3,2013,2,592250,1598,Good,2,1,1600
4,1,14,5,2009,1,33232,3465,Very Good,1,3,1700
1,1,6,3,2010,2,907400,1790,Good,1,0,2339
3,1,5,3,2010,2,1065000,1600,Very Good,1,1,3788
3,1,8,3,2004,2,1100000,1958,Good,1,2,1680
1,1,8,4,2010,2,20000,2099,Good,1,0,1775
3,4,9,3,1963,2,703700,2520,Average,4,0,4638
4,2,11,3,2014,2,1210000,2520,Very Good,2,3,870
3,1,6,2,2004,2,130500,2568,Good,1,3,2429
4,2,8,4,2009,3,339500,2520,Good,2,0,3185
4,2,9,4,1978,3,1050000,2504,Good,2,0,1120
4,2,9,4,2016,1,1550000,2552,Very Good,2,2,1638
4,2,9,4,2009,2,1599900,2520,Good,2,2,6960
4,2,13,4,2006,2,1700000,2382,Excellent,2,3,990
5,2,10,4,2016,2,1700000,2520,Very Good,2,2,3750
4,2,10,5,2009,2,450000,2520,Good,2,0,533
4,2,9,4,2011,2,846000,2610,Average,2,2,2253
4,2,5,4,2006,2.5,1312000,1468,Good,2,2,960
2,2,4,2,2004,2,390000,2196,Good,2,0,2500
4,2,8,3,2007,2,772500,1440,Good,2,2,1050
1,2,4,1,2004,2,499000,1104,Good,2,1,1093
2,2,9,2,1974,3,216000,1104,Average,2,2,1682
4,2,8,3,2002,2,636090,1389,Good,2,2,1745
6,3,11,5,2002,4,1599000,3162,Good,3,0,2000
4,3,8,3,2007,2,380000,2192,Good,3,3,1534
4,3,8,5,2000,2,1295000,2751,Good,3,2,9350
3,2,10,6,2012,2,1255000,2196,Good,2,3,1666
4,3,10,4,2009,3,463000,2118,Good,3,0,6250
3,2,10,4,2008,3,990000,2151,Good,2,2,1800
2,2,6,3,2005,2,682500,884,Good,2,1,1800
6,1,8,3,2014,2,993500,1148,Very Good,1,1,1134
3,1,7,2,2011,2,745000,1222,Good,1,1,3123
3,2,11,4,2012,2,1155000,1380,Very Good,2,2,2801
3,2,11,3,2014,2,1363000,1380,Good,2,2,827
4,2,11,4,2007,2,1148000,1380,Very Good,2,2,2416
4,2,9,3,2012,2,900000,1410,Good,2,0,1496
4,3,9,4,2011,2,1440000,2668,Good,3,4,9056
3,1,6,2,1990,2,872000,1382,Good,1,0,5559
5,2,8,4,2008,2,1925000,2920,Good,2,2,2704
3,1,7,3,2004,2.5,1280000,1630,Good,1,2,632
4,4,12,4,2013,2,770000,3344,Average,4,4,1379
5,2,11,5,2015,2,750000,3287,Average,2,3,2376
7,1,16,5,2009,1,2675000,6140,Very Good,1,5,2500
5,2,11,6,2000,2,1844970,3902,Good,2,2,3675
5,3,10,6,2005,2,2350000,3440,Very Good,3,6,61420
4,2,8,4,2003,1,1680000,2556,Very Good,2,3,2873
8,2,11,6,2007,2,2834050,3263,Very Good,2,6,1597
4,3,10,4,2007,2,1495000,2940,Good,3,6,2578
3,1,8,4,2009,2,2150000,2744,Very Good,1,6,1530
4,2,11,4,2001,1,1945000,3032,Very Good,2,6,2705
4,2,11,4,2009,2,1805000,3016,Very Good,2,6,726
3,2,9,3,2004,2,2150000,2304,Very Good,2,2,3898
4,1,11,5,1935,2,1625000,2500,Good,2,7,2472
5,2,9,5,1984,2,1450000,2880,Good,2,5,5726
3,1,9,3,2010,2,1905000,2584,Very Good,1,4,1050
7,1,10,5,2001,2,1865000,3254,Good,1,5,1779
3,1,6,3,2004,2,890000,1590,Good,1,0,825
4,1,6,3,2005,2,1345000,1590,Good,2,0,1255
1,1,6,3,2006,2,282777,1542,Good,1,0,1008
